time,nagents,calculate_cultural_entropy,calculate_cultural_diversity,calculate_spatial_segregation,calculate_clustering_coefficient,calculate_wealth_percentiles,calculate_pareto_alpha,deaths_age,deaths_starvation,calculate_cultural_initiation_by_tribe,calculate_total_credit_outstanding,calculate_credit_default_rate,calculate_credit_network_metrics,calculate_gini_coefficient
10,50,3.8842971182057475,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 8.75, :p75 => 27.5, :p50 => 17.0, :p90 => 38.0, :p99 => 45.54999999999999, :p95 => 40.64999999999999)",6.223920723170318,0,20,"Dict{String, Real}(""red_transmission_rate"" => 0.36363636363636365, ""blue_transmission_rate"" => 0.6363636363636364, ""blue_initiated_transmissions"" => 7, ""red_initiated_transmissions"" => 4, ""total_transmissions"" => 11)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.36890295358649783
11,50,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 11.25, :p75 => 28.75, :p50 => 17.0, :p90 => 40.0, :p99 => 48.05999999999999, :p95 => 42.749999999999986)",6.615502806103238,0,22,"Dict{String, Real}(""red_transmission_rate"" => 0.3076923076923077, ""blue_transmission_rate"" => 0.6923076923076923, ""blue_initiated_transmissions"" => 9, ""red_initiated_transmissions"" => 4, ""total_transmissions"" => 13)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3633500501504514
12,50,3.8565712309833495,"Dict{String, Real}(""unique_cultures"" => 48, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0234375)",0.0,0.0,"Dict(:p25 => 11.25, :p75 => 30.75, :p50 => 18.0, :p90 => 42.0, :p99 => 50.05999999999999, :p95 => 44.749999999999986)",6.830841214956148,0,23,"Dict{String, Real}(""red_transmission_rate"" => 0.35714285714285715, ""blue_transmission_rate"" => 0.6428571428571429, ""blue_initiated_transmissions"" => 9, ""red_initiated_transmissions"" => 5, ""total_transmissions"" => 14)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3673563218390805
13,50,3.8288453437609515,"Dict{String, Real}(""unique_cultures"" => 47, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02294921875)",0.0,0.0,"Dict(:p25 => 11.25, :p75 => 32.5, :p50 => 19.0, :p90 => 44.0, :p99 => 52.05999999999999, :p95 => 46.749999999999986)",5.24496034013434,0,24,"Dict{String, Real}(""red_transmission_rate"" => 0.6, ""blue_transmission_rate"" => 0.4, ""blue_initiated_transmissions"" => 6, ""red_initiated_transmissions"" => 9, ""total_transmissions"" => 15)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.36944087992667285
14,50,3.7733935693161555,"Dict{String, Real}(""unique_cultures"" => 45, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02197265625)",0.0,0.0,"Dict(:p25 => 11.25, :p75 => 33.5, :p50 => 19.5, :p90 => 46.0, :p99 => 54.569999999999986, :p95 => 48.749999999999986)",4.7655392653256605,0,27,"Dict{String, Real}(""red_transmission_rate"" => 0.3333333333333333, ""blue_transmission_rate"" => 0.6666666666666666, ""blue_initiated_transmissions"" => 10, ""red_initiated_transmissions"" => 5, ""total_transmissions"" => 15)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.34448246364414037
15,50,3.8288453437609515,"Dict{String, Real}(""unique_cultures"" => 47, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02294921875)",0.0,0.0,"Dict(:p25 => 11.25, :p75 => 34.75, :p50 => 20.5, :p90 => 47.1, :p99 => 56.569999999999986, :p95 => 50.749999999999986)",5.783849852853198,0,28,"Dict{String, Real}(""red_transmission_rate"" => 0.5, ""blue_transmission_rate"" => 0.5, ""blue_initiated_transmissions"" => 8, ""red_initiated_transmissions"" => 8, ""total_transmissions"" => 16)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3540233722871453
16,50,3.735202719218467,"Dict{String, Real}(""unique_cultures"" => 44, ""max_possible"" => 2048, ""diversity_ratio"" => 0.021484375)",0.0,0.0,"Dict(:p25 => 11.25, :p75 => 36.0, :p50 => 20.5, :p90 => 50.0, :p99 => 58.569999999999986, :p95 => 52.749999999999986)",6.0493735224689,0,28,"Dict{String, Real}(""red_transmission_rate"" => 0.2857142857142857, ""blue_transmission_rate"" => 0.7142857142857143, ""blue_initiated_transmissions"" => 10, ""red_initiated_transmissions"" => 4, ""total_transmissions"" => 14)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3756357670221493
17,50,3.7733935693161555,"Dict{String, Real}(""unique_cultures"" => 45, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02197265625)",0.0,0.0,"Dict(:p25 => 11.25, :p75 => 38.0, :p50 => 21.0, :p90 => 52.0, :p99 => 61.079999999999984, :p95 => 55.19999999999999)",6.172004707686984,0,28,"Dict{String, Real}(""red_transmission_rate"" => 0.35294117647058826, ""blue_transmission_rate"" => 0.6470588235294118, ""blue_initiated_transmissions"" => 11, ""red_initiated_transmissions"" => 6, ""total_transmissions"" => 17)",0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.3965672844480257
18,50,3.8011194565385535,"Dict{String, Real}(""unique_cultures"" => 46, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0224609375)",0.0,0.0,"Dict(:p25 => 11.25, :p75 => 38.75, :p50 => 23.0, :p90 => 54.0, :p99 => 63.079999999999984, :p95 => 57.64999999999999)",4.179142402857192,0,30,"Dict{String, Real}(""red_transmission_rate"" => 0.3684210526315789, ""blue_transmission_rate"" => 0.631578947368421, ""blue_initiated_transmissions"" => 12, ""red_initiated_transmissions"" => 7, ""total_transmissions"" => 19)",11.0,0.5,"Dict{String, Real}(""n_edges"" => 2, ""density"" => 0.0016326530612244899, ""avg_degree"" => 0.06, ""n_nodes"" => 50, ""max_degree"" => 2)",0.38344350499615687
19,50,3.8565712309833495,"Dict{String, Real}(""unique_cultures"" => 48, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0234375)",0.0,0.0,"Dict(:p25 => 13.0, :p75 => 39.75, :p50 => 24.0, :p90 => 55.0, :p99 => 65.58999999999997, :p95 => 59.64999999999999)",4.824838475878284,0,33,"Dict{String, Real}(""red_transmission_rate"" => 0.3888888888888889, ""blue_transmission_rate"" => 0.6111111111111112, ""blue_initiated_transmissions"" => 11, ""red_initiated_transmissions"" => 7, ""total_transmissions"" => 18)",14.0,0.25,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.1, ""n_nodes"" => 50, ""max_degree"" => 3)",0.35696531791907504
20,50,3.8842971182057475,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 11.25, :p75 => 41.5, :p50 => 23.0, :p90 => 57.0, :p99 => 68.09999999999998, :p95 => 61.64999999999999)",4.932345384877582,0,33,"Dict{String, Real}(""red_transmission_rate"" => 0.26666666666666666, ""blue_transmission_rate"" => 0.7333333333333333, ""blue_initiated_transmissions"" => 11, ""red_initiated_transmissions"" => 4, ""total_transmissions"" => 15)",14.0,0.25,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.1, ""n_nodes"" => 50, ""max_degree"" => 3)",0.37189227498228195
21,50,3.8842971182057475,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,"Dict(:p25 => 11.25, :p75 => 42.5, :p50 => 24.0, :p90 => 59.0, :p99 => 70.60999999999999, :p95 => 64.1)",4.989904263267929,0,33,"Dict{String, Real}(""red_transmission_rate"" => 0.5294117647058824, ""blue_transmission_rate"" => 0.47058823529411764, ""blue_initiated_transmissions"" => 8, ""red_initiated_transmissions"" => 9, ""total_transmissions"" => 17)",14.0,0.25,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.1, ""n_nodes"" => 50, ""max_degree"" => 3)",0.38615384615384607
22,50,3.8288453437609515,"Dict{String, Real}(""unique_cultures"" => 47, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02294921875)",0.0,0.0,"Dict(:p25 => 11.75, :p75 => 43.5, :p50 => 24.5, :p90 => 60.1, :p99 => 73.11999999999998, :p95 => 62.64999999999999)",4.995566810059845,0,33,"Dict{String, Real}(""red_transmission_rate"" => 0.5714285714285714, ""blue_transmission_rate"" => 0.42857142857142855, ""blue_initiated_transmissions"" => 9, ""red_initiated_transmissions"" => 12, ""total_transmissions"" => 21)",24.0,0.16666666666666666,"Dict{String, Real}(""n_edges"" => 5, ""density"" => 0.004081632653061225, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 3)",0.39180771834800265
23,50,3.8565712309833495,"Dict{String, Real}(""unique_cultures"" => 48, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0234375)",0.0,0.0,"Dict(:p25 => 14.25, :p75 => 44.5, :p50 => 26.0, :p90 => 62.1, :p99 => 75.62999999999997, :p95 => 65.19999999999999)",4.916254649616971,0,33,"Dict{String, Real}(""red_transmission_rate"" => 0.5625, ""blue_transmission_rate"" => 0.4375, ""blue_initiated_transmissions"" => 7, ""red_initiated_transmissions"" => 9, ""total_transmissions"" => 16)",33.0,0.125,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.24, ""n_nodes"" => 50, ""max_degree"" => 3)",0.4000529801324504
24,50,3.8288453437609515,"Dict{String, Real}(""unique_cultures"" => 47, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02294921875)",0.0,0.0,"Dict(:p25 => 14.0, :p75 => 45.0, :p50 => 27.0, :p90 => 64.0, :p99 => 77.62999999999997, :p95 => 67.74999999999999)",4.642380986095728,0,35,"Dict{String, Real}(""red_transmission_rate"" => 0.3333333333333333, ""blue_transmission_rate"" => 0.6666666666666666, ""blue_initiated_transmissions"" => 10, ""red_initiated_transmissions"" => 5, ""total_transmissions"" => 15)",33.0,0.125,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.24, ""n_nodes"" => 50, ""max_degree"" => 3)",0.39976893453145057
25,50,3.790654493663263,"Dict{String, Real}(""unique_cultures"" => 46, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0224609375)",0.0,0.0,"Dict(:p25 => 14.25, :p75 => 47.0, :p50 => 28.0, :p90 => 65.0, :p99 => 80.13999999999997, :p95 => 70.19999999999999)",4.448897690856149,0,38,"Dict{String, Real}(""red_transmission_rate"" => 0.3333333333333333, ""blue_transmission_rate"" => 0.6666666666666666, ""blue_initiated_transmissions"" => 14, ""red_initiated_transmissions"" => 7, ""total_transmissions"" => 21)",38.0,0.09090909090909091,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.34, ""n_nodes"" => 50, ""max_degree"" => 3)",0.38326580724370785
26,50,3.762928606440865,"Dict{String, Real}(""unique_cultures"" => 45, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02197265625)",0.0,0.0,"Dict(:p25 => 14.25, :p75 => 49.0, :p50 => 29.0, :p90 => 67.0, :p99 => 82.64999999999998, :p95 => 72.19999999999999)",4.602660637160059,0,39,"Dict{String, Real}(""red_transmission_rate"" => 0.45, ""blue_transmission_rate"" => 0.55, ""blue_initiated_transmissions"" => 11, ""red_initiated_transmissions"" => 9, ""total_transmissions"" => 20)",39.0,0.08333333333333333,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.38, ""n_nodes"" => 50, ""max_degree"" => 3)",0.38861759425493725
27,50,3.6970118691207787,"Dict{String, Real}(""unique_cultures"" => 43, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02099609375)",0.0,0.0,"Dict(:p25 => 14.25, :p75 => 50.75, :p50 => 29.5, :p90 => 68.1, :p99 => 85.15999999999997, :p95 => 75.19999999999999)",4.696776682445863,0,39,"Dict{String, Real}(""red_transmission_rate"" => 0.4444444444444444, ""blue_transmission_rate"" => 0.5555555555555556, ""blue_initiated_transmissions"" => 10, ""red_initiated_transmissions"" => 8, ""total_transmissions"" => 18)",40.0,0.07692307692307693,"Dict{String, Real}(""n_edges"" => 11, ""density"" => 0.008979591836734694, ""avg_degree"" => 0.4, ""n_nodes"" => 50, ""max_degree"" => 3)",0.3984037558685445
28,50,3.707476831996069,"Dict{String, Real}(""unique_cultures"" => 43, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02099609375)",0.0,0.0,"Dict(:p25 => 14.25, :p75 => 54.25, :p50 => 30.5, :p90 => 70.1, :p99 => 88.15999999999997, :p95 => 77.64999999999999)",5.011959074628656,0,40,"Dict{String, Real}(""red_transmission_rate"" => 0.18181818181818182, ""blue_transmission_rate"" => 0.8181818181818182, ""blue_initiated_transmissions"" => 9, ""red_initiated_transmissions"" => 2, ""total_transmissions"" => 11)",38.0,0.08333333333333333,"Dict{String, Real}(""n_edges"" => 11, ""density"" => 0.008979591836734694, ""avg_degree"" => 0.38, ""n_nodes"" => 50, ""max_degree"" => 3)",0.40716390633923494
29,50,3.574258927975057,"Dict{String, Real}(""unique_cultures"" => 40, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01953125)",0.0,0.0,"Dict(:p25 => 14.25, :p75 => 56.25, :p50 => 32.5, :p90 => 72.1, :p99 => 91.15999999999997, :p95 => 80.1)",4.7500905885760485,0,43,"Dict{String, Real}(""red_transmission_rate"" => 0.2916666666666667, ""blue_transmission_rate"" => 0.7083333333333334, ""blue_initiated_transmissions"" => 17, ""red_initiated_transmissions"" => 7, ""total_transmissions"" => 24)",38.2,0.09090909090909091,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.36, ""n_nodes"" => 50, ""max_degree"" => 3)",0.3881089918256131
30,50,3.546533040752659,"Dict{String, Real}(""unique_cultures"" => 39, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01904296875)",0.0,0.0,"Dict(:p25 => 14.25, :p75 => 58.0, :p50 => 34.0, :p90 => 75.0, :p99 => 93.15999999999997, :p95 => 82.55)",4.660013414126254,0,43,"Dict{String, Real}(""red_transmission_rate"" => 0.2631578947368421, ""blue_transmission_rate"" => 0.7368421052631579, ""blue_initiated_transmissions"" => 14, ""red_initiated_transmissions"" => 5, ""total_transmissions"" => 19)",45.5,0.07142857142857142,"Dict{String, Real}(""n_edges"" => 12, ""density"" => 0.009795918367346938, ""avg_degree"" => 0.46, ""n_nodes"" => 50, ""max_degree"" => 4)",0.392636752136752
31,50,3.652025057551273,"Dict{String, Real}(""unique_cultures"" => 41, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02001953125)",0.0,0.0,"Dict(:p25 => 14.25, :p75 => 59.0, :p50 => 36.0, :p90 => 77.0, :p99 => 95.66999999999996, :p95 => 83.64999999999999)",4.855384070222493,0,44,"Dict{String, Real}(""red_transmission_rate"" => 0.47368421052631576, ""blue_transmission_rate"" => 0.5263157894736842, ""blue_initiated_transmissions"" => 10, ""red_initiated_transmissions"" => 9, ""total_transmissions"" => 19)",48.5,0.06666666666666667,"Dict{String, Real}(""n_edges"" => 13, ""density"" => 0.010612244897959184, ""avg_degree"" => 0.5, ""n_nodes"" => 50, ""max_degree"" => 4)",0.39419989534275235
32,50,3.735202719218467,"Dict{String, Real}(""unique_cultures"" => 44, ""max_possible"" => 2048, ""diversity_ratio"" => 0.021484375)",0.0,0.0,"Dict(:p25 => 15.0, :p75 => 60.75, :p50 => 38.0, :p90 => 80.1, :p99 => 99.23799999999997, :p95 => 85.64999999999999)",4.8109714922760185,0,44,"Dict{String, Real}(""red_transmission_rate"" => 0.375, ""blue_transmission_rate"" => 0.625, ""blue_initiated_transmissions"" => 10, ""red_initiated_transmissions"" => 6, ""total_transmissions"" => 16)",49.300000000000004,0.058823529411764705,"Dict{String, Real}(""n_edges"" => 15, ""density"" => 0.012244897959183673, ""avg_degree"" => 0.56, ""n_nodes"" => 50, ""max_degree"" => 5)",0.3990117647058826
33,50,3.7456676820937584,"Dict{String, Real}(""unique_cultures"" => 44, ""max_possible"" => 2048, ""diversity_ratio"" => 0.021484375)",0.0,0.0,"Dict(:p25 => 15.0, :p75 => 61.025000000000006, :p50 => 40.0, :p90 => 82.1, :p99 => 102.23799999999997, :p95 => 87.64999999999999)",4.520373846591751,0,44,"Dict{String, Real}(""red_transmission_rate"" => 0.30434782608695654, ""blue_transmission_rate"" => 0.6956521739130435, ""blue_initiated_transmissions"" => 16, ""red_initiated_transmissions"" => 7, ""total_transmissions"" => 23)",50.2,0.058823529411764705,"Dict{String, Real}(""n_edges"" => 14, ""density"" => 0.011428571428571429, ""avg_degree"" => 0.54, ""n_nodes"" => 50, ""max_degree"" => 5)",0.40096709870388825
34,50,3.6138342074535856,"Dict{String, Real}(""unique_cultures"" => 41, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02001953125)",0.0,0.0,"Dict(:p25 => 14.25, :p75 => 62.275000000000006, :p50 => 41.5, :p90 => 84.1, :p99 => 104.72799999999998, :p95 => 90.1)",4.6461581766837865,0,45,"Dict{String, Real}(""red_transmission_rate"" => 0.375, ""blue_transmission_rate"" => 0.625, ""blue_initiated_transmissions"" => 15, ""red_initiated_transmissions"" => 9, ""total_transmissions"" => 24)",51.2,0.05555555555555555,"Dict{String, Real}(""n_edges"" => 14, ""density"" => 0.011428571428571429, ""avg_degree"" => 0.58, ""n_nodes"" => 50, ""max_degree"" => 6)",0.39921477162293506
35,50,3.5029306585639937,"Dict{String, Real}(""unique_cultures"" => 38, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0185546875)",0.0,0.0,"Dict(:p25 => 13.775, :p75 => 63.275000000000006, :p50 => 42.5, :p90 => 86.1, :p99 => 107.26699999999997, :p95 => 92.55)",4.3693070468852016,0,45,"Dict{String, Real}(""red_transmission_rate"" => 0.4117647058823529, ""blue_transmission_rate"" => 0.5882352941176471, ""blue_initiated_transmissions"" => 10, ""red_initiated_transmissions"" => 7, ""total_transmissions"" => 17)",50.2,0.058823529411764705,"Dict{String, Real}(""n_edges"" => 13, ""density"" => 0.010612244897959184, ""avg_degree"" => 0.56, ""n_nodes"" => 50, ""max_degree"" => 5)",0.4050844868735082
36,50,3.601984815197455,"Dict{String, Real}(""unique_cultures"" => 41, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02001953125)",0.0,0.0,"Dict(:p25 => 15.0, :p75 => 64.275, :p50 => 44.0, :p90 => 88.1, :p99 => 105.70999999999995, :p95 => 94.505)",4.4989143193289465,0,46,"Dict{String, Real}(""red_transmission_rate"" => 0.5, ""blue_transmission_rate"" => 0.5, ""blue_initiated_transmissions"" => 10, ""red_initiated_transmissions"" => 10, ""total_transmissions"" => 20)",60.7,0.05263157894736842,"Dict{String, Real}(""n_edges"" => 15, ""density"" => 0.012244897959183673, ""avg_degree"" => 0.6, ""n_nodes"" => 50, ""max_degree"" => 5)",0.39444620400558916
