time,nagents,births,deaths_age,deaths_starvation,combat_kills,calculate_total_credit_outstanding,calculate_credit_default_rate,calculate_decision_entropy,calculate_gini_coefficient,calculate_wealth_percentiles,calculate_pareto_alpha,calculate_mean_lifespan,calculate_lifespan_inequality,calculate_cultural_entropy,calculate_spatial_segregation,calculate_clustering_coefficient,calculate_trait_summary_stats,count_red_tribe,count_blue_tribe,calculate_tribe_proportions,calculate_credit_network_metrics_avg_degree,calculate_credit_network_metrics_density,calculate_credit_network_metrics_max_degree,calculate_credit_network_metrics_n_edges,calculate_credit_network_metrics_n_nodes,calculate_factional_clustering_blue_attack_rate,calculate_factional_clustering_blue_initiated_attacks,calculate_factional_clustering_red_attack_rate,calculate_factional_clustering_red_initiated_attacks,calculate_factional_clustering_total_attacks,calculate_cultural_initiation_by_tribe_blue_initiated_transmissions,calculate_cultural_initiation_by_tribe_blue_transmission_rate,calculate_cultural_initiation_by_tribe_red_initiated_transmissions,calculate_cultural_initiation_by_tribe_red_transmission_rate,calculate_cultural_initiation_by_tribe_total_transmissions,calculate_cultural_diversity_diversity_ratio,calculate_cultural_diversity_max_possible,calculate_cultural_diversity_unique_cultures,calculate_trait_similarity_metrics_avg_similarity,calculate_trait_similarity_metrics_count
11,14,0,0,15,21,0.0,0.0,0.0,0.6452282157676348,"Dict(:p25 => 4.25, :p75 => 40.5, :p50 => 13.0, :p90 => 66.69999999999999, :p99 => 191.7999999999999, :p95 => 119.0000000000002)",1.163750049256248,11.0,0.0,2.6390573296152584,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",9,5,"Dict(""blue_proportion"" => 0.35714285714285715, ""red_proportion"" => 0.6428571428571429)",0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068359375,2048.0,14.0,0.0,0.0
12,14,0,0,15,21,0.0,0.0,0.0,0.6644483880508725,"Dict(:p25 => 3.0, :p75 => 42.25, :p50 => 12.5, :p90 => 69.0, :p99 => 193.7999999999999, :p95 => 121.0000000000002)",1.167756012604238,12.0,0.0,2.6390573296152584,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",9,5,"Dict(""blue_proportion"" => 0.35714285714285715, ""red_proportion"" => 0.6428571428571429)",0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0068359375,2048.0,14.0,0.0,0.0
13,13,0,0,16,21,0.0,0.0,0.0,0.6602034329307056,"Dict(:p25 => 2.0, :p75 => 49.0, :p50 => 12.0, :p90 => 72.2, :p99 => 197.19999999999987, :p95 => 130.00000000000028)",1.1717655068567971,13.0,0.0,2.5649493574615376,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",8,5,"Dict(""blue_proportion"" => 0.38461538461538464, ""red_proportion"" => 0.6153846153846154)",0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00634765625,2048.0,13.0,0.0,0.0
14,9,0,0,19,22,0.0,0.0,0.0,0.5686680469289165,"Dict(:p25 => 10.0, :p75 => 68.0, :p50 => 30.0, :p90 => 110.3999999999999, :p99 => 205.43999999999997, :p95 => 163.2000000000002)",NaN,14.0,0.0,2.1972245773362196,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",7,2,"Dict(""blue_proportion"" => 0.2222222222222222, ""red_proportion"" => 0.7777777777777778)",0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,0.5,2.0,0.00439453125,2048.0,9.0,0.0,0.0
15,7,0,0,20,23,0.0,0.0,0.0,0.4960235640648012,"Dict(:p25 => 20.0, :p75 => 83.0, :p50 => 53.0, :p90 => 144.19999999999993, :p99 => 210.61999999999995, :p95 => 181.10000000000002)",NaN,15.0,0.0,1.945910149055313,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",5,2,"Dict(""blue_proportion"" => 0.2857142857142857, ""red_proportion"" => 0.7142857142857143)",0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00341796875,2048.0,7.0,0.0,0.0
16,7,0,0,20,23,0.0,0.0,0.0,0.5005807200929153,"Dict(:p25 => 20.0, :p75 => 85.5, :p50 => 55.0, :p90 => 146.19999999999993, :p99 => 212.61999999999995, :p95 => 183.10000000000002)",NaN,16.0,0.0,1.945910149055313,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",5,2,"Dict(""blue_proportion"" => 0.2857142857142857, ""red_proportion"" => 0.7142857142857143)",0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00341796875,2048.0,7.0,0.0,0.0
17,6,0,0,20,24,0.0,0.0,0.0,0.5441595441595442,"Dict(:p25 => 13.5, :p75 => 123.0, :p50 => 45.0, :p90 => 183.5, :p99 => 218.14999999999995, :p95 => 202.75)",NaN,17.0,0.0,1.7917594692280547,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",4,2,"Dict(""blue_proportion"" => 0.3333333333333333, ""red_proportion"" => 0.6666666666666666)",0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0029296875,2048.0,6.0,0.0,0.0
18,6,0,0,20,24,0.0,0.0,0.0,0.5501412429378529,"Dict(:p25 => 13.0, :p75 => 125.0, :p50 => 46.5, :p90 => 185.5, :p99 => 220.14999999999995, :p95 => 204.75)",NaN,18.0,0.0,1.7917594692280547,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",4,2,"Dict(""blue_proportion"" => 0.3333333333333333, ""red_proportion"" => 0.6666666666666666)",0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029296875,2048.0,6.0,0.0,0.0
19,5,0,0,21,24,0.0,0.0,0.0,0.46722689075630264,"Dict(:p25 => 35.0, :p75 => 149.0, :p50 => 61.0, :p90 => 195.19999999999996, :p99 => 222.92, :p95 => 210.59999999999997)",NaN,19.0,0.0,1.6094379124341005,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",3,2,"Dict(""blue_proportion"" => 0.4, ""red_proportion"" => 0.6)",0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00244140625,2048.0,5.0,0.0,0.0
20,5,0,0,21,24,0.0,0.0,0.0,0.46721991701244825,"Dict(:p25 => 36.0, :p75 => 151.0, :p50 => 63.0, :p90 => 197.2, :p99 => 224.92, :p95 => 212.59999999999997)",NaN,20.0,0.0,1.6094379124341005,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",3,2,"Dict(""blue_proportion"" => 0.4, ""red_proportion"" => 0.6)",0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00244140625,2048.0,5.0,0.0,0.0
21,5,0,0,21,24,0.0,0.0,0.0,0.4672131147540983,"Dict(:p25 => 37.0, :p75 => 153.0, :p50 => 65.0, :p90 => 199.19999999999996, :p99 => 226.92, :p95 => 214.6)",NaN,21.0,0.0,1.6094379124341005,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",3,2,"Dict(""blue_proportion"" => 0.4, ""red_proportion"" => 0.6)",0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00244140625,2048.0,5.0,0.0,0.0
22,5,0,0,21,24,0.0,0.0,0.0,0.46720647773279356,"Dict(:p25 => 38.0, :p75 => 155.0, :p50 => 67.0, :p90 => 201.2, :p99 => 228.92000000000002, :p95 => 216.6)",NaN,22.0,0.0,1.6094379124341005,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",3,2,"Dict(""blue_proportion"" => 0.4, ""red_proportion"" => 0.6)",0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00244140625,2048.0,5.0,0.0,0.0
23,5,0,0,21,24,0.0,0.0,0.0,0.46720000000000006,"Dict(:p25 => 39.0, :p75 => 157.0, :p50 => 69.0, :p90 => 203.2, :p99 => 230.92, :p95 => 218.6)",NaN,23.0,0.0,1.6094379124341005,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",3,2,"Dict(""blue_proportion"" => 0.4, ""red_proportion"" => 0.6)",0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00244140625,2048.0,5.0,0.0,0.0
24,4,0,0,22,24,0.0,0.0,0.0,0.33399209486166015,"Dict(:p25 => 63.25, :p75 => 178.25, :p50 => 115.0, :p90 => 212.90000000000003, :p99 => 233.68999999999997, :p95 => 224.45000000000002)",NaN,24.0,0.0,1.3862943611198906,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",2,2,"Dict(""blue_proportion"" => 0.5, ""red_proportion"" => 0.5)",0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953125,2048.0,4.0,0.0,0.0
25,4,0,0,22,24,0.0,0.0,0.0,0.33089668615984413,"Dict(:p25 => 65.0, :p75 => 180.25, :p50 => 117.0, :p90 => 214.90000000000003, :p99 => 235.68999999999997, :p95 => 226.45)",NaN,25.0,0.0,1.3862943611198906,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",2,2,"Dict(""blue_proportion"" => 0.5, ""red_proportion"" => 0.5)",0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953125,2048.0,4.0,0.0,0.0
26,4,0,0,22,24,0.0,0.0,0.0,0.32788461538461533,"Dict(:p25 => 66.75, :p75 => 182.25, :p50 => 119.0, :p90 => 216.90000000000003, :p99 => 237.69, :p95 => 228.45000000000002)",NaN,26.0,0.0,1.3862943611198906,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",2,2,"Dict(""blue_proportion"" => 0.5, ""red_proportion"" => 0.5)",0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953125,2048.0,4.0,0.0,0.0
27,4,0,0,22,24,0.0,0.0,0.0,0.3249525616698292,"Dict(:p25 => 68.5, :p75 => 184.25, :p50 => 121.0, :p90 => 218.9, :p99 => 239.69, :p95 => 230.45)",NaN,27.0,0.0,1.3862943611198906,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",2,2,"Dict(""blue_proportion"" => 0.5, ""red_proportion"" => 0.5)",0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953125,2048.0,4.0,0.0,0.0
